Date/Time,999 [°C],
9/6/2025 2:50:36 P.M.,17.5,
9/6/2025 2:50:37 P.M.,17.5,
9/6/2025 2:50:38 P.M.,17.5,
9/6/2025 2:50:39 P.M.,17.5,
9/6/2025 2:50:40 P.M.,17.5,
9/6/2025 2:50:41 P.M.,17.5,
9/6/2025 2:50:42 P.M.,17.5,
9/6/2025 2:50:43 P.M.,17.5,
9/6/2025 2:50:44 P.M.,17.6,
9/6/2025 2:50:45 P.M.,17.6,
9/6/2025 2:50:46 P.M.,17.6,
9/6/2025 2:50:47 P.M.,17.5,
9/6/2025 2:50:48 P.M.,17.5,
9/6/2025 2:50:49 P.M.,17.5,
9/6/2025 2:50:50 P.M.,17.5,
9/6/2025 2:50:51 P.M.,17.5,
9/6/2025 2:50:52 P.M.,17.5,
9/6/2025 2:50:53 P.M.,17.5,
9/6/2025 2:50:54 P.M.,17.5,
9/6/2025 2:50:55 P.M.,17.5,
9/6/2025 2:50:56 P.M.,17.5,
9/6/2025 2:50:57 P.M.,17.5,
9/6/2025 2:50:58 P.M.,17.6,
9/6/2025 2:50:59 P.M.,17.6,
9/6/2025 2:51:00 P.M.,17.6,
9/6/2025 2:51:01 P.M.,17.6,
9/6/2025 2:51:02 P.M.,17.6,
9/6/2025 2:51:03 P.M.,17.6,
9/6/2025 2:51:04 P.M.,17.6,
9/6/2025 2:51:05 P.M.,17.6,
Overall Average,19.4,
Minimum Total,-18.8,
Maximum Total,66.5,

< General Information >
App Version,Name of Measurement Program,Date of Measurement,Comments,
29.2.5.89380,Basic View,9/6/2025 2:51:42 P.M.,,

< Company >
City,Country,Customer Number,E-mail address,Name,Name of Technician,Phone,Street,Fax,Website Address,
,,,,,,,,,,

< Customer >
City,Country,Customer Number,E-mail address,Name,Name of Technician,Phone,Street,
,,,,,,,,

< Instruments >
Name,Serial Number,Firmware Version,Measurement Parameters,Emissivity,
testo 805i,49641999,1.101.1,Surface Temperature,0.95,

< Measuring Site >
Name,System Number,System Type,System Manufacturer,System Serial Number,Date of Manufacture,Notes,
,,,,,,,

< Measurement Parameters >
Measuring mode,Measuring Cycle,Start Time,End,Duration,
Continuous,1 Sec,9/6/2025 2:41:31 P.M.,9/6/2025 2:51:05 P.M.,9 Min. 34 Sec,

< Graphic sections >
Name

< Images >
Name

